id,prop,spf,name
576,0.2,0.08,SLB-36708_surface.grd
577,0.2,0.08,SLB-37193_surface.grd
578,0.2,0.08,SLB-3766_surface.grd
579,0.2,0.08,SLB-3888_surface.grd
580,0.2,0.08,SLB-3919_surface.grd
581,0.2,0.08,SLB-4025_surface.grd
582,0.2,0.08,SLB-4052_surface.grd
583,0.2,0.08,SLB-4054_surface.grd
584,0.2,0.08,SLB-4271_surface.grd
585,0.2,0.08,SLB-4774_surface.grd
586,0.2,0.08,SLB-4794_surface.grd
587,0.2,0.08,SLB-57711_surface.grd
588,0.2,0.08,SLB-61929_surface.grd
589,0.2,0.08,SLB-61947_surface.grd
590,0.2,0.08,SLB-61972_surface.grd
591,0.2,0.08,SLB-62220_surface.grd
592,0.2,0.08,SLB-62243_surface.grd
593,0.2,0.08,SLB-63040_surface.grd
594,0.2,0.08,SLB-63177_surface.grd
595,0.2,0.08,SLB-63453_surface.grd
596,0.2,0.08,SLB-63775_surface.grd
597,0.2,0.08,SLB-63818_surface.grd
598,0.2,0.08,SLB-63892_surface.grd
599,0.2,0.08,SLB-63910_surface.grd
600,0.2,0.08,SLB-64922_surface.grd
601,0.2,0.08,SLB-65655_surface.grd
602,0.2,0.08,SLB-65970_surface.grd
603,0.2,0.08,SLB-66010_surface.grd
604,0.2,0.08,SLB-66019_surface.grd
605,0.2,0.08,SLB-66024_surface.grd
